id,stateabb1,ccode1,stateabb2,ccode2,year,joint_igo_membership
328,USA,2,DMA,54,1987,1
329,USA,2,DMA,54,1988,1
330,USA,2,DMA,54,1989,1
331,USA,2,DMA,54,1990,1
332,USA,2,DMA,54,1991,1
333,USA,2,DMA,54,1992,1
334,USA,2,DMA,54,1993,1
335,USA,2,DMA,54,1994,1
336,USA,2,DMA,54,1995,1
337,USA,2,DMA,54,1996,1
338,USA,2,DMA,54,1997,1
339,USA,2,DMA,54,1998,1
340,USA,2,DMA,54,1999,1
341,USA,2,DMA,54,2000,1
342,USA,2,DMA,54,2001,1
343,USA,2,DMA,54,2002,1
344,USA,2,DMA,54,2003,1
345,USA,2,DMA,54,2004,1
346,USA,2,DMA,54,2005,1
347,USA,2,GRN,55,1974,1
348,USA,2,GRN,55,1975,1
349,USA,2,GRN,55,1976,1
350,USA,2,GRN,55,1977,1
351,USA,2,GRN,55,1978,1
352,USA,2,GRN,55,1979,1
353,USA,2,GRN,55,1980,1
354,USA,2,GRN,55,1981,1
355,USA,2,GRN,55,1982,1
356,USA,2,GRN,55,1983,1
357,USA,2,GRN,55,1984,1
358,USA,2,GRN,55,1985,1
359,USA,2,GRN,55,1986,1
360,USA,2,GRN,55,1987,1
361,USA,2,GRN,55,1988,1
362,USA,2,GRN,55,1989,1
363,USA,2,GRN,55,1990,1
364,USA,2,GRN,55,1991,1
365,USA,2,GRN,55,1992,1
366,USA,2,GRN,55,1993,1
367,USA,2,GRN,55,1994,1
368,USA,2,GRN,55,1995,1
369,USA,2,GRN,55,1996,1
370,USA,2,GRN,55,1997,1
371,USA,2,GRN,55,1998,1
372,USA,2,GRN,55,1999,1
373,USA,2,GRN,55,2000,1
374,USA,2,GRN,55,2001,1
375,USA,2,GRN,55,2002,1
376,USA,2,GRN,55,2003,1
377,USA,2,GRN,55,2004,1
378,USA,2,GRN,55,2005,1
379,USA,2,SLU,56,1979,1
380,USA,2,SLU,56,1980,1
381,USA,2,SLU,56,1981,1
382,USA,2,SLU,56,1982,1
383,USA,2,SLU,56,1983,1
384,USA,2,SLU,56,1984,1
385,USA,2,SLU,56,1985,1
386,USA,2,SLU,56,1986,1
387,USA,2,SLU,56,1987,1
388,USA,2,SLU,56,1988,1
389,USA,2,SLU,56,1989,1
390,USA,2,SLU,56,1990,1
391,USA,2,SLU,56,1991,1
392,USA,2,SLU,56,1992,1
393,USA,2,SLU,56,1993,1
394,USA,2,SLU,56,1994,1
395,USA,2,SLU,56,1995,1
396,USA,2,SLU,56,1996,1
397,USA,2,SLU,56,1997,1
398,USA,2,SLU,56,1998,1
399,USA,2,SLU,56,1999,1
400,USA,2,SLU,56,2000,1
401,USA,2,SLU,56,2001,1
402,USA,2,SLU,56,2002,1
403,USA,2,SLU,56,2003,1
404,USA,2,SLU,56,2004,1
405,USA,2,SLU,56,2005,1
406,USA,2,SVG,57,1979,1
407,USA,2,SVG,57,1980,1
408,USA,2,SVG,57,1981,1
409,USA,2,SVG,57,1982,1
410,USA,2,SVG,57,1983,1
411,USA,2,SVG,57,1984,1
412,USA,2,SVG,57,1985,1
413,USA,2,SVG,57,1986,1
414,USA,2,SVG,57,1987,1
415,USA,2,SVG,57,1988,1
416,USA,2,SVG,57,1989,1
417,USA,2,SVG,57,1990,1
418,USA,2,SVG,57,1991,1
419,USA,2,SVG,57,1992,1
420,USA,2,SVG,57,1993,1
421,USA,2,SVG,57,1994,1
422,USA,2,SVG,57,1995,1
423,USA,2,SVG,57,1996,1
424,USA,2,SVG,57,1997,1
425,USA,2,SVG,57,1998,1
426,USA,2,SVG,57,1999,1
427,USA,2,SVG,57,2000,1
428,USA,2,SVG,57,2001,1
429,USA,2,SVG,57,2002,1
430,USA,2,SVG,57,2003,1
431,USA,2,SVG,57,2004,1
432,USA,2,SVG,57,2005,1
433,USA,2,AAB,58,1981,1
434,USA,2,AAB,58,1982,1
435,USA,2,AAB,58,1983,1
436,USA,2,AAB,58,1984,1
437,USA,2,AAB,58,1985,1
438,USA,2,AAB,58,1986,1
439,USA,2,AAB,58,1987,1
440,USA,2,AAB,58,1988,1
441,USA,2,AAB,58,1989,1
442,USA,2,AAB,58,1990,1
443,USA,2,AAB,58,1991,1
444,USA,2,AAB,58,1992,1
445,USA,2,AAB,58,1993,1
446,USA,2,AAB,58,1994,1
447,USA,2,AAB,58,1995,1
448,USA,2,AAB,58,1996,1
449,USA,2,AAB,58,1997,1
450,USA,2,AAB,58,1998,1
451,USA,2,AAB,58,1999,1
452,USA,2,AAB,58,2000,1
453,USA,2,AAB,58,2001,1
454,USA,2,AAB,58,2002,1
455,USA,2,AAB,58,2003,1
456,USA,2,AAB,58,2004,1
457,USA,2,AAB,58,2005,1
458,USA,2,SKN,60,1983,1
459,USA,2,SKN,60,1984,1
460,USA,2,SKN,60,1985,1
461,USA,2,SKN,60,1986,1
462,USA,2,SKN,60,1987,1
463,USA,2,SKN,60,1988,1
464,USA,2,SKN,60,1989,1
465,USA,2,SKN,60,1990,1
466,USA,2,SKN,60,1991,1
467,USA,2,SKN,60,1992,1
468,USA,2,SKN,60,1993,1
469,USA,2,SKN,60,1994,1
470,USA,2,SKN,60,1995,1
471,USA,2,SKN,60,1996,1
472,USA,2,SKN,60,1997,1
473,USA,2,SKN,60,1998,1
474,USA,2,SKN,60,1999,1
475,USA,2,SKN,60,2000,1
476,USA,2,SKN,60,2001,1
477,USA,2,SKN,60,2002,1
478,USA,2,SKN,60,2003,1
479,USA,2,SKN,60,2004,1
480,USA,2,SKN,60,2005,1
481,USA,2,MEX,70,1965,1
482,USA,2,MEX,70,1966,1
483,USA,2,MEX,70,1967,1
484,USA,2,MEX,70,1968,1
485,USA,2,MEX,70,1969,1
486,USA,2,MEX,70,1970,1
487,USA,2,MEX,70,1971,1
488,USA,2,MEX,70,1972,1
489,USA,2,MEX,70,1973,1
490,USA,2,MEX,70,1974,1
491,USA,2,MEX,70,1975,1
492,USA,2,MEX,70,1976,1
493,USA,2,MEX,70,1977,1
494,USA,2,MEX,70,1978,1
495,USA,2,MEX,70,1979,1
496,USA,2,MEX,70,1980,1
497,USA,2,MEX,70,1981,1
498,USA,2,MEX,70,1982,1
499,USA,2,MEX,70,1983,1
500,USA,2,MEX,70,1984,1
501,USA,2,MEX,70,1985,1
502,USA,2,MEX,70,1986,1
503,USA,2,MEX,70,1987,1
504,USA,2,MEX,70,1988,1
505,USA,2,MEX,70,1989,1
506,USA,2,MEX,70,1990,1
507,USA,2,MEX,70,1991,1
508,USA,2,MEX,70,1992,1
509,USA,2,MEX,70,1993,1
510,USA,2,MEX,70,1994,1
