id,stateabb,ccode,year,major
679,DOM,42,1995,0
680,DOM,42,1996,0
681,DOM,42,1997,0
682,DOM,42,1998,0
683,DOM,42,1999,0
684,DOM,42,2000,0
685,DOM,42,2001,0
686,DOM,42,2002,0
687,DOM,42,2003,0
688,DOM,42,2004,0
689,DOM,42,2005,0
690,DOM,42,2006,0
691,DOM,42,2007,0
692,DOM,42,2008,0
693,DOM,42,2009,0
694,DOM,42,2010,0
695,DOM,42,2011,0
696,DOM,42,2012,0
697,DOM,42,2013,0
698,DOM,42,2014,0
699,JAM,51,1962,0
700,JAM,51,1963,0
701,JAM,51,1964,0
702,JAM,51,1965,0
703,JAM,51,1966,0
704,JAM,51,1967,0
705,JAM,51,1968,0
706,JAM,51,1969,0
707,JAM,51,1970,0
708,JAM,51,1971,0
709,JAM,51,1972,0
710,JAM,51,1973,0
711,JAM,51,1974,0
712,JAM,51,1975,0
713,JAM,51,1976,0
714,JAM,51,1977,0
715,JAM,51,1978,0
716,JAM,51,1979,0
717,JAM,51,1980,0
718,JAM,51,1981,0
719,JAM,51,1982,0
720,JAM,51,1983,0
721,JAM,51,1984,0
722,JAM,51,1985,0
723,JAM,51,1986,0
724,JAM,51,1987,0
725,JAM,51,1988,0
726,JAM,51,1989,0
727,JAM,51,1990,0
728,JAM,51,1991,0
729,JAM,51,1992,0
730,JAM,51,1993,0
731,JAM,51,1994,0
732,JAM,51,1995,0
733,JAM,51,1996,0
734,JAM,51,1997,0
735,JAM,51,1998,0
736,JAM,51,1999,0
737,JAM,51,2000,0
738,JAM,51,2001,0
739,JAM,51,2002,0
740,JAM,51,2003,0
741,JAM,51,2004,0
742,JAM,51,2005,0
743,JAM,51,2006,0
744,JAM,51,2007,0
745,JAM,51,2008,0
746,JAM,51,2009,0
747,JAM,51,2010,0
748,JAM,51,2011,0
749,JAM,51,2012,0
750,JAM,51,2013,0
751,JAM,51,2014,0
752,TRI,52,1962,0
753,TRI,52,1963,0
754,TRI,52,1964,0
755,TRI,52,1965,0
756,TRI,52,1966,0
757,TRI,52,1967,0
758,TRI,52,1968,0
759,TRI,52,1969,0
760,TRI,52,1970,0
761,TRI,52,1971,0
762,TRI,52,1972,0
763,TRI,52,1973,0
764,TRI,52,1974,0
765,TRI,52,1975,0
766,TRI,52,1976,0
767,TRI,52,1977,0
768,TRI,52,1978,0
769,TRI,52,1979,0
770,TRI,52,1980,0
771,TRI,52,1981,0
772,TRI,52,1982,0
773,TRI,52,1983,0
774,TRI,52,1984,0
775,TRI,52,1985,0
776,TRI,52,1986,0
777,TRI,52,1987,0
778,TRI,52,1988,0
779,TRI,52,1989,0
780,TRI,52,1990,0
781,TRI,52,1991,0
782,TRI,52,1992,0
783,TRI,52,1993,0
784,TRI,52,1994,0
785,TRI,52,1995,0
786,TRI,52,1996,0
787,TRI,52,1997,0
788,TRI,52,1998,0
789,TRI,52,1999,0
790,TRI,52,2000,0
791,TRI,52,2001,0
792,TRI,52,2002,0
793,TRI,52,2003,0
794,TRI,52,2004,0
795,TRI,52,2005,0
796,TRI,52,2006,0
797,TRI,52,2007,0
798,TRI,52,2008,0
799,TRI,52,2009,0
800,TRI,52,2010,0
801,TRI,52,2011,0
802,TRI,52,2012,0
803,TRI,52,2013,0
