id,stateabb1,ccode1,stateabb2,ccode2,year,defense,milex_1,milex_2,tpop_1,tpop_2
663,USA,2,MEX,70,1988,1,281935000,646450,245021.0,80109.0
664,USA,2,MEX,70,1989,1,294880000,640630,247342.0,81663.0
665,USA,2,MEX,70,1990,1,289755000,678410,249907.0,83226.0
666,USA,2,MEX,70,1991,1,262389000,674536,252618.0,84801.0
667,USA,2,MEX,70,1992,1,286892000,1520000,255391.0,86386.0
668,USA,2,MEX,70,1993,1,297600000,1656000,258132.0,87976.0
669,USA,2,MEX,70,1994,1,293214000,2300000,260602.0,89564.0
670,USA,2,MEX,70,1995,1,277834000,2366000,262755.0,90487.0
671,USA,2,MEX,70,1996,1,277254000,3629000,265284.0,92718.0
672,USA,2,MEX,70,1997,1,276324000,3664000,267901.0,94281.0
673,USA,2,MEX,70,1998,1,279702000,3907000,274028.0,95831.0
674,USA,2,MEX,70,1999,1,292147000,4289000,276218.0,97365.0
675,USA,2,MEX,70,2000,1,303136000,5229000,278357.0,98881.0
676,USA,2,MEX,70,2001,1,322365000,5733000,285112.0,99716.0
677,USA,2,MEX,70,2002,1,348555000,3236000,290270.0,106724.0
678,USA,2,MEX,70,2003,1,404920000,2938000,292883.0,108056.0
679,USA,2,MEX,70,2004,1,455908000,2876000,295487.0,109382.0
680,USA,2,MEX,70,2005,1,495326000,3123000,298166.0,110732.0
681,USA,2,MEX,70,2006,1,521840000,3229000,300943.0,112117.0
682,USA,2,MEX,70,2007,1,552568000,3982000,303787.0,113530.0
683,USA,2,MEX,70,2008,1,616073000,4346000,306657.0,114968.0
684,USA,2,MEX,70,2009,1,662049000,4769000,309492.0,116423.0
685,USA,2,MEX,70,2010,1,693600000,5410000,312247.0,117886.0
686,USA,2,MEX,70,2011,1,687000000,5051000,314912.0,119361.0
687,USA,2,MEX,70,2012,1,655388000,5237000,317505.0,120847.0
688,USA,2,BLZ,80,1991,1,262389000,8000,252618.0,194.0
689,USA,2,BLZ,80,1992,1,286892000,-9,255391.0,199.0
690,USA,2,BLZ,80,1993,1,297600000,6900,258132.0,205.0
691,USA,2,BLZ,80,1994,1,293214000,11000,260602.0,211.0
692,USA,2,BLZ,80,1995,1,277834000,13000,262755.0,216.0
693,USA,2,BLZ,80,1996,1,277254000,15000,265284.0,222.0
694,USA,2,BLZ,80,1997,1,276324000,16000,267901.0,230.0
695,USA,2,BLZ,80,1998,1,279702000,17000,274028.0,230.0
696,USA,2,BLZ,80,1999,1,292147000,17000,276218.0,235.0
697,USA,2,BLZ,80,2000,1,303136000,18000,278357.0,241.0
698,USA,2,BLZ,80,2001,1,322365000,18000,285112.0,257.0
699,USA,2,BLZ,80,2002,1,348555000,14000,290270.0,252.0
700,USA,2,BLZ,80,2003,1,404920000,15000,292883.0,258.0
701,USA,2,BLZ,80,2004,1,455908000,16000,295487.0,265.0
702,USA,2,BLZ,80,2005,1,495326000,16000,298166.0,272.0
703,USA,2,BLZ,80,2006,1,521840000,18000,300943.0,279.0
704,USA,2,BLZ,80,2007,1,552568000,18000,303787.0,286.0
705,USA,2,BLZ,80,2008,1,616073000,-9,306657.0,294.0
706,USA,2,BLZ,80,2009,1,662049000,14000,309492.0,301.0
707,USA,2,BLZ,80,2010,1,693600000,16000,312247.0,309.0
708,USA,2,BLZ,80,2011,1,687000000,16000,314912.0,316.0
709,USA,2,BLZ,80,2012,1,655388000,16000,317505.0,324.0
