id,stateabb,ccode,year,chrstgen,islmnat,islmalw,chrstorth,major
494,HAI,41,1906,.,.,.,.,0.0
495,HAI,41,1907,.,.,.,.,0.0
496,HAI,41,1908,.,.,.,.,0.0
497,HAI,41,1909,.,.,.,.,0.0
498,HAI,41,1910,.,.,.,.,0.0
499,HAI,41,1911,.,.,.,.,0.0
500,HAI,41,1912,.,.,.,.,0.0
501,HAI,41,1913,.,.,.,.,0.0
502,HAI,41,1914,.,.,.,.,0.0
503,HAI,41,1915,.,.,.,.,0.0
504,HAI,41,1934,.,.,.,.,0.0
505,HAI,41,1935,.,.,.,.,0.0
506,HAI,41,1936,.,.,.,.,0.0
507,HAI,41,1937,.,.,.,.,0.0
508,HAI,41,1938,.,.,.,.,0.0
509,HAI,41,1939,.,.,.,.,0.0
510,HAI,41,1940,.,.,.,.,0.0
511,HAI,41,1941,.,.,.,.,0.0
512,HAI,41,1942,.,.,.,.,0.0
513,HAI,41,1943,.,.,.,.,0.0
514,HAI,41,1944,.,.,.,.,0.0
515,HAI,41,1945,2936500.0,0.0,0.0,0.0,0.0
516,HAI,41,1946,.,.,.,.,0.0
517,HAI,41,1947,.,.,.,.,0.0
518,HAI,41,1948,.,.,.,.,0.0
519,HAI,41,1949,.,.,.,.,0.0
520,HAI,41,1950,2944000.0,0.0,0.0,0.0,0.0
521,HAI,41,1951,.,.,.,.,0.0
522,HAI,41,1952,.,.,.,.,0.0
523,HAI,41,1953,.,.,.,.,0.0
524,HAI,41,1954,.,.,.,.,0.0
525,HAI,41,1955,3098500.0,0.0,0.0,0.0,0.0
526,HAI,41,1956,.,.,.,.,0.0
527,HAI,41,1957,.,.,.,.,0.0
528,HAI,41,1958,.,.,.,.,0.0
529,HAI,41,1959,.,.,.,.,0.0
530,HAI,41,1960,3253000.0,0.0,0.0,0.0,0.0
531,HAI,41,1961,.,.,.,.,0.0
532,HAI,41,1962,.,.,.,.,0.0
533,HAI,41,1963,.,.,.,.,0.0
534,HAI,41,1964,.,.,.,.,0.0
535,HAI,41,1965,3742881.0,0.0,0.0,0.0,0.0
536,HAI,41,1966,.,.,.,.,0.0
537,HAI,41,1967,.,.,.,.,0.0
538,HAI,41,1968,.,.,.,.,0.0
539,HAI,41,1969,.,.,.,.,0.0
540,HAI,41,1970,4235925.0,0.0,0.0,0.0,0.0
541,HAI,41,1971,.,.,.,.,0.0
542,HAI,41,1972,.,.,.,.,0.0
543,HAI,41,1973,.,.,.,.,0.0
544,HAI,41,1974,.,.,.,.,0.0
545,HAI,41,1975,4553806.0,0.0,0.0,0.0,0.0
546,HAI,41,1976,.,.,.,.,0.0
547,HAI,41,1977,.,.,.,.,0.0
548,HAI,41,1978,.,.,.,.,0.0
549,HAI,41,1979,.,.,.,.,0.0
550,HAI,41,1980,5002500.0,0.0,0.0,0.0,0.0
551,HAI,41,1981,.,.,.,.,0.0
552,HAI,41,1982,.,.,.,.,0.0
553,HAI,41,1983,.,.,.,.,0.0
554,HAI,41,1984,.,.,.,.,0.0
555,HAI,41,1985,5125000.0,0.0,0.0,0.0,0.0
556,HAI,41,1986,.,.,.,.,0.0
557,HAI,41,1987,.,.,.,.,0.0
558,HAI,41,1988,.,.,.,.,0.0
559,HAI,41,1989,.,.,.,.,0.0
560,HAI,41,1990,5934500.0,0.0,0.0,0.0,0.0
561,HAI,41,1991,.,.,.,.,0.0
562,HAI,41,1992,.,.,.,.,0.0
563,HAI,41,1993,.,.,.,.,0.0
564,HAI,41,1994,.,.,.,.,0.0
565,HAI,41,1995,6621510.0,0.0,0.0,0.0,0.0
566,HAI,41,1996,.,.,.,.,0.0
567,HAI,41,1997,.,.,.,.,0.0
568,HAI,41,1998,.,.,.,.,0.0
569,HAI,41,1999,.,.,.,.,0.0
570,HAI,41,2000,7377600.0,0.0,0.0,0.0,0.0
571,HAI,41,2001,.,.,.,.,0.0
572,HAI,41,2002,.,.,.,.,0.0
573,HAI,41,2003,.,.,.,.,0.0
574,HAI,41,2004,.,.,.,.,0.0
575,HAI,41,2005,7998500.0,0.0,0.0,0.0,0.0
576,HAI,41,2006,.,.,.,.,0.0
577,HAI,41,2007,.,.,.,.,0.0
578,HAI,41,2008,.,.,.,.,0.0
579,HAI,41,2009,.,.,.,.,0.0
580,HAI,41,2010,8003882.0,0.0,0.0,0.0,0.0
581,HAI,41,2011,.,.,.,.,0.0
