stateabb,ccode,year,democ,autoc,polity,polity2
SAX,269,1842,0,8,-8,-8
SAX,269,1843,0,8,-8,-8
SAX,269,1844,0,8,-8,-8
SAX,269,1845,0,9,-9,-9
SAX,269,1846,0,9,-9,-9
SAX,269,1847,0,9,-9,-9
SAX,269,1848,-66,-66,-66,
SAX,269,1849,0,7,-7,-7
SAX,269,1850,0,7,-7,-7
SAX,269,1851,0,7,-7,-7
SAX,269,1852,0,7,-7,-7
SAX,269,1853,0,7,-7,-7
SAX,269,1854,0,7,-7,-7
SAX,269,1855,0,7,-7,-7
SAX,269,1856,0,7,-7,-7
SAX,269,1857,0,7,-7,-7
SAX,269,1858,0,7,-7,-7
SAX,269,1859,0,7,-7,-7
SAX,269,1860,0,7,-7,-7
SAX,269,1861,0,7,-7,-7
SAX,269,1862,0,7,-7,-7
SAX,269,1863,0,7,-7,-7
SAX,269,1864,0,7,-7,-7
SAX,269,1865,0,7,-7,-7
SAX,269,1866,0,7,-7,-7
SAX,269,1867,0,7,-7,-7
SAX,269,1868,0,7,-7,-7
SAX,269,1869,0,7,-7,-7
SAX,269,1870,0,7,-7,-7
SAX,269,1871,0,7,-7,-7
SDN,626,2011,0,4,-4,-4
SDN,626,2012,0,4,-4,-4
SDN,626,2013,0,4,-4,-4
SDN,626,2014,0,4,-4,-4
SDN,626,2015,0,4,-4,-4
SDN,626,2016,0,4,-4,-4
SDN,626,2017,0,4,-4,-4
SDN,626,2018,0,4,-4,-4
SEN,433,1960,3,4,-1,-1
SEN,433,1961,3,4,-1,-1
SEN,433,1962,-88,-88,-88,-4
SEN,433,1963,0,7,-7,-7
SEN,433,1964,0,7,-7,-7
SEN,433,1965,0,7,-7,-7
SEN,433,1966,0,7,-7,-7
SEN,433,1967,0,7,-7,-7
SEN,433,1968,0,7,-7,-7
SEN,433,1969,0,7,-7,-7
SEN,433,1970,0,7,-7,-7
SEN,433,1971,0,7,-7,-7
SEN,433,1972,0,7,-7,-7
SEN,433,1973,0,7,-7,-7
SEN,433,1974,0,6,-6,-6
SEN,433,1975,0,6,-6,-6
SEN,433,1976,0,6,-6,-6
SEN,433,1977,0,6,-6,-6
SEN,433,1978,2,4,-2,-2
SEN,433,1979,2,4,-2,-2
SEN,433,1980,2,4,-2,-2
SEN,433,1981,2,3,-1,-1
SEN,433,1982,2,3,-1,-1
SEN,433,1983,2,3,-1,-1
SEN,433,1984,2,3,-1,-1
SEN,433,1985,2,3,-1,-1
SEN,433,1986,2,3,-1,-1
